,,,years,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,96,102,108,114,120,128,136,144,152,160,168,184,200
20,omt          , Meat products nec,omt,-0.008053,-0.007471,-0.006955,-0.006465,-0.006036,-0.005581,-0.005266,-0.004992,-0.00478,-0.004623,-0.004527,-0.004475,-0.004484,-0.004473,-0.004584,-0.004735,-0.00516,-0.005773,-0.006492,-0.007419,-0.008469,-0.009641,-0.01088,-0.012083,-0.013328,-0.014488,-0.015515,-0.016188,-0.016523,-0.018453,-0.021004,-0.024841,-0.028576,-0.032076,-0.035302,-0.03825,-0.041821,-0.044996,-0.047676,-0.050096,-0.052238,-0.054159,-0.057673,-0.060788
21,vol          , Vegetable oils and fats ,vol,-0.055423,-0.002708,0.050113,0.103102,0.156202,0.20943,0.2627,0.316046,0.369441,0.422896,0.476374,0.529911,0.58351,0.637207,0.690841,0.744585,0.852235,0.960261,1.068545,1.177152,1.286125,1.395642,1.505823,1.616952,1.729097,1.842711,1.958169,2.076129,2.197182,2.226567,2.224217,2.219487,2.213635,2.20742,2.201241,2.195312,2.187887,2.181102,2.175204,2.169872,2.165137,2.160903,2.153242,2.14674
22,mil          , Dairy products,mil,-0.011648,-0.014338,-0.017054,-0.01979,-0.022554,-0.025293,-0.028146,-0.031044,-0.033991,-0.036998,-0.040053,-0.043165,-0.046329,-0.049497,-0.052776,-0.056112,-0.062939,-0.070041,-0.07729,-0.084784,-0.09244,-0.100262,-0.108185,-0.116124,-0.124134,-0.132097,-0.139939,-0.14746,-0.154647,-0.157668,-0.159564,-0.162721,-0.166126,-0.169498,-0.17273,-0.175764,-0.179504,-0.182943,-0.185725,-0.188388,-0.190729,-0.192814,-0.196586,-0.199809
23,pcr          , Processed rice,pcr,-0.026375,0.003935,0.034171,0.064337,0.094368,0.124348,0.154179,0.183913,0.213593,0.243138,0.272587,0.301973,0.331253,0.360518,0.389644,0.4187,0.47673,0.534537,0.592135,0.649614,0.707006,0.7644,0.821889,0.879613,0.937671,0.996165,1.055398,1.115615,1.177052,1.185921,1.177229,1.164607,1.152752,1.141799,1.13176,1.122602,1.111489,1.101684,1.093169,1.08563,1.079007,1.073178,1.062892,1.054968
24,sgr          , Sugar,sgr,-0.014426,-0.004124,0.006105,0.016273,0.026409,0.03655,0.046576,0.056548,0.066486,0.076369,0.086221,0.096023,0.105803,0.115602,0.125305,0.134981,0.15432,0.173573,0.192814,0.211962,0.231122,0.250303,0.269594,0.289075,0.308705,0.328664,0.349014,0.370029,0.391739,0.394394,0.39072,0.385452,0.38057,0.376096,0.372005,0.368273,0.363747,0.359752,0.356354,0.353214,0.350475,0.348068,0.343813,0.340495
25,ofd          ,  products nec,ofd,-0.004628,-0.008213,-0.01184,-0.015521,-0.01924,-0.02296,-0.026799,-0.030702,-0.034663,-0.038686,-0.042773,-0.046925,-0.051138,-0.055354,-0.059691,-0.064097,-0.073024,-0.082187,-0.091518,-0.101134,-0.110946,-0.120968,-0.131162,-0.14146,-0.151971,-0.162608,-0.173364,-0.184127,-0.195013,-0.199995,-0.203129,-0.207962,-0.21281,-0.21748,-0.221883,-0.225978,-0.231015,-0.235508,-0.239458,-0.242969,-0.246059,-0.248781,-0.25358,-0.257249
26,b_t          , Beverages and tobacco products ,b_t,0.001908,-0.004478,-0.010955,-0.017531,-0.024196,-0.03091,-0.037768,-0.044731,-0.051787,-0.058939,-0.066189,-0.07354,-0.080977,-0.088461,-0.096083,-0.103802,-0.119418,-0.135384,-0.15164,-0.168277,-0.185232,-0.202511,-0.220102,-0.237961,-0.256192,-0.274755,-0.293691,-0.312967,-0.33274,-0.341424,-0.346325,-0.353511,-0.360344,-0.366725,-0.372624,-0.378041,-0.384648,-0.390483,-0.39561,-0.400147,-0.404127,-0.407617,-0.413727,-0.418267
27,tex          , Textiles,tex,-0.031663,-0.013665,0.004674,0.023348,0.042273,0.061476,0.080782,0.10021,0.119758,0.139362,0.159048,0.178777,0.198537,0.218383,0.238154,0.257939,0.29748,0.336996,0.376477,0.415824,0.455076,0.494239,0.533374,0.572608,0.611891,0.651382,0.691167,0.731538,0.772539,0.786498,0.789282,0.790205,0.787673,0.783335,0.77812,0.772588,0.765235,0.758052,0.751832,0.745998,0.740781,0.736115,0.727723,0.720831
28,wap          , Wearing apparel,wap,-0.021973,-0.012486,-0.002816,0.007044,0.017019,0.027179,0.037345,0.047537,0.05778,0.068007,0.078258,0.088482,0.0987,0.108959,0.119097,0.129214,0.149338,0.169289,0.189095,0.208657,0.227999,0.247147,0.266137,0.28508,0.303906,0.322747,0.341646,0.360823,0.38028,0.3864,0.386576,0.384597,0.380313,0.374911,0.369065,0.363171,0.35555,0.348384,0.342034,0.336253,0.331107,0.326529,0.318356,0.311823
29,lea          , Leather products,lea,-0.039258,-0.056239,-0.07271,-0.088691,-0.10435,-0.119686,-0.13485,-0.149917,-0.164846,-0.179802,-0.194734,-0.209696,-0.224723,-0.239811,-0.255018,-0.27036,-0.3015,-0.333201,-0.365582,-0.398672,-0.432518,-0.467182,-0.502577,-0.538658,-0.575348,-0.61257,-0.650267,-0.68814,-0.726023,-0.724936,-0.714504,-0.704751,-0.701362,-0.701595,-0.703827,-0.707091,-0.712055,-0.717344,-0.722235,-0.726839,-0.731048,-0.734903,-0.742082,-0.748702
30,lum          , Wood products,lum,-0.006114,0.000419,0.007116,0.013974,0.020929,0.028056,0.035168,0.042318,0.049503,0.056683,0.063875,0.071051,0.078214,0.08542,0.092524,0.099597,0.113656,0.127552,0.141316,0.154809,0.168073,0.181096,0.193879,0.206471,0.218723,0.230681,0.242278,0.253544,0.264239,0.267292,0.266636,0.263814,0.259124,0.253556,0.247685,0.241846,0.234355,0.227387,0.221154,0.215576,0.210646,0.206323,0.198812,0.193471
