,,,years,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,34,38,42,46,50,54,58,62,66,70,74,78,82,86,90,96,102,108,114,120,128,136,144,152,160,168,184,200
16,oil          , Oil,oil,0.029965,-0.028248,-0.09015,-0.155353,-0.223581,-0.294551,-0.368072,-0.443898,-0.521913,-0.601957,-0.683931,-0.767718,-0.853266,-0.940421,-1.029137,-1.119355,-1.30367,-1.493861,-1.68925,-1.889319,-2.095251,-2.305957,-2.521291,-2.740242,-2.96313,-3.190098,-3.420015,-3.652369,-3.885611,-4.047628,-4.159178,-4.295434,-4.396952,-4.47702,-4.543121,-4.599648,-4.66577,-4.717729,-4.779214,-4.810111,-4.848066,-4.881533,-4.940282,-4.984459
17,gas          , Gas,gas,-0.004054,-0.229555,-0.460581,-0.69666,-0.937305,-1.182086,-1.43071,-1.682796,-1.938142,-2.196462,-2.457521,-2.721157,-2.987211,-3.255468,-3.525861,-3.798219,-4.346861,-4.902408,-5.464066,-6.03118,-6.603227,-7.179616,-7.759866,-8.343245,-8.928951,-9.516086,-10.103372,-10.689125,-11.268824,-11.53305,-11.664585,-11.824749,-11.943613,-12.036717,-12.113099,-12.178078,-12.253617,-12.315228,-12.375456,-12.418334,-12.460055,-12.496746,-12.561259,-12.610279
18,omn          , Minerals nec,omn,-0.12332,-0.275582,-0.433333,-0.596156,-0.763595,-0.935326,-1.111005,-1.290433,-1.473349,-1.659548,-1.848829,-2.04108,-2.236155,-2.433886,-2.634223,-2.837149,-3.247734,-3.667696,-4.096016,-4.532015,-4.974878,-5.423818,-5.877798,-6.336423,-6.795961,-7.256151,-7.713781,-8.164985,-8.604794,-8.840146,-8.985687,-9.169079,-9.312559,-9.430101,-9.529762,-9.616331,-9.718198,-9.805447,-9.881292,-9.946841,-10.00499,-10.055958,-10.145435,-10.213148
19,cmt          ," Meat: cattle,sheep,goats,horse ",cmt,-0.017086,-0.205184,-0.396342,-0.59026,-0.786689,-0.985409,-1.186247,-1.389011,-1.593604,-1.799919,-2.007795,-2.217153,-2.427984,-2.640135,-2.853602,-3.068337,-3.500289,-3.936527,-4.376805,-4.820654,-5.268089,-5.718404,-6.17097,-6.625003,-7.079016,-7.531681,-7.980744,-8.422674,-8.866664,-9.013898,-9.131053,-9.269244,-9.36371,-9.433809,-9.489284,-9.534052,-9.579081,-9.700201,-9.525929,-9.691807,-9.732112,-9.76148,-9.807505,-9.842002
20,omt          , Meat products nec,omt,0.408277,0.030799,-0.350689,-0.735776,-1.124064,-1.515236,-1.909041,-2.305258,-2.703755,-3.104406,-3.50699,-3.911492,-4.317921,-4.726116,-5.136125,-5.548034,-6.376978,-7.213419,-8.057619,-8.910043,-9.772004,-10.644113,-11.52749,-12.424068,-13.33453,-14.263043,-15.212269,-16.185949,-17.192318,-17.505514,-17.56007,-17.614681,-17.639326,-17.647679,-17.647337,-17.64264,-17.633786,-17.619267,-17.620987,-17.604954,-17.596114,-17.588504,-17.575257,-17.564876
21,vol          , Vegetable oils and fats ,vol,-0.141875,-0.348361,-0.559335,-0.774289,-0.992588,-1.213708,-1.437312,-1.663038,-1.890543,-2.11958,-2.349921,-2.581417,-2.813864,-3.046945,-3.28075,-3.515031,-3.982993,-4.45179,-4.92032,-5.387424,-5.852204,-6.313424,-6.769594,-7.219327,-7.659803,-8.089254,-8.504103,-8.900507,-9.268553,-9.48216,-9.615055,-9.771327,-9.881595,-9.965551,-10.033582,-10.091277,-10.158483,-10.214705,-10.267777,-10.308496,-10.347309,-10.381539,-10.442179,-10.489526
22,mil          , Dairy products,mil,0.160487,-0.114139,-0.394455,-0.679904,-0.969919,-1.263996,-1.561849,-1.863054,-2.167418,-2.474678,-2.784594,-3.097041,-3.411893,-3.728973,-4.048248,-4.36961,-5.017234,-5.672831,-6.335966,-7.006378,-7.684238,-8.369366,-9.061737,-9.761468,-10.468485,-11.183473,-11.90653,-12.637144,-13.382486,-13.678739,-13.799773,-13.939716,-14.034291,-14.101961,-14.153213,-14.194025,-14.239158,-14.274308,-14.307823,-14.331197,-14.3541,-14.374082,-14.409122,-14.435726
23,pcr          , Processed rice,pcr,-0.114709,-0.267561,-0.423338,-0.581673,-0.742498,-0.905515,-1.070469,-1.237131,-1.405517,-1.57542,-1.746596,-1.918852,-2.092296,-2.266729,-2.442062,-2.617994,-2.970148,-3.323579,-3.678404,-4.033747,-4.387345,-4.738252,-5.085868,-5.427771,-5.762034,-6.085104,-6.393351,-6.68254,-6.944849,-7.078865,-7.165559,-7.271061,-7.34854,-7.407803,-7.454597,-7.492523,-7.534143,-7.575626,-7.587591,-7.621719,-7.643161,-7.661389,-7.692938,-7.71711
24,sgr          , Sugar,sgr,-0.014414,-0.212644,-0.414184,-0.618834,-0.826275,-1.036268,-1.248689,-1.463337,-1.680101,-1.898848,-2.119465,-2.341889,-2.566031,-2.791845,-3.019281,-3.248267,-3.709899,-4.17721,-4.650127,-5.128295,-5.611458,-6.099333,-6.591474,-7.0876,-7.586686,-8.088207,-8.591044,-9.094002,-9.591521,-9.77641,-9.842139,-9.920539,-9.976682,-10.019496,-10.053934,-10.082801,-10.115973,-10.144709,-10.167429,-10.189215,-10.207852,-10.224173,-10.252878,-10.274788
25,ofd          ,  products nec,ofd,0.215139,0.028215,-0.163729,-0.360298,-0.561175,-0.766062,-0.974738,-1.187022,-1.402777,-1.621874,-1.844202,-2.069677,-2.298295,-2.529983,-2.764714,-3.002527,-3.486669,-3.98314,-4.492135,-5.013866,-5.548948,-6.09786,-6.661134,-7.240087,-7.834808,-8.447459,-9.079486,-9.733827,-10.403793,-10.65489,-10.730976,-10.814201,-10.863732,-10.894401,-10.914354,-10.928183,-10.9419,-10.948194,-10.96495,-10.965821,-10.970766,-10.975221,-10.98318,-10.989045
26,b_t          , Beverages and tobacco products ,b_t,-0.027458,-0.223418,-0.422328,-0.62402,-0.828273,-1.034898,-1.24381,-1.454827,-1.667909,-1.882932,-2.099802,-2.318475,-2.538904,-2.761014,-2.984806,-3.210181,-3.664782,-4.12549,-4.592215,-5.064749,-5.542628,-6.0257,-6.513725,-7.006119,-7.502538,-8.001875,-8.503137,-9.004868,-9.503349,-9.684222,-9.747832,-9.826027,-9.884906,-9.931493,-9.969891,-10.002516,-10.040305,-10.072504,-10.098838,-10.122989,-10.143988,-10.162348,-10.194593,-10.219173
27,tex          , Textiles,tex,0.281187,0.056861,-0.176737,-0.418454,-0.667242,-0.92216,-1.182766,-1.448006,-1.717691,-1.991338,-2.268495,-2.548973,-2.832423,-3.11856,-3.407277,-3.698004,-4.285587,-4.881275,-5.484971,-6.096205,-6.714451,-7.339668,-7.971882,-8.608039,-9.257082,-9.911451,-10.574539,-11.247802,-11.929295,-12.328328,-12.569654,-12.846537,-13.031862,-13.164777,-13.266466,-13.348652,-13.440952,-13.514087,-13.586254,-13.637497,-13.686256,-13.728947,-13.803831,-13.859951
28,wap          , Wearing apparel,wap,0.184707,0.071126,-0.049511,-0.176302,-0.308489,-0.44537,-0.586622,-0.731427,-0.879658,-1.030945,-1.184994,-1.341609,-1.500552,-1.661608,-1.824707,-1.989343,-2.323758,-2.664513,-3.011752,-3.365168,-3.724075,-4.088646,-4.458865,-4.832128,-5.216456,-5.604728,-6.000051,-6.403607,-6.813923,-7.090327,-7.274533,-7.485373,-7.625829,-7.726352,-7.803303,-7.865623,-7.935824,-7.99265,-8.045423,-8.086974,-8.124653,-8.157685,-8.215818,-8.259861
29,lea          , Leather products,lea,0.343169,0.213628,0.073371,-0.076347,-0.234323,-0.399602,-0.571432,-0.749059,-0.932013,-1.11966,-1.31157,-1.507468,-1.706994,-1.90981,-2.115788,-2.324796,-2.747248,-3.18051,-3.623242,-4.074825,-4.534153,-5.001229,-5.475843,-5.95895,-6.448863,-6.947576,-7.455781,-7.97472,-8.505698,-8.929939,-9.247764,-9.620708,-9.880063,-10.071953,-10.221925,-10.344502,-10.482593,-10.595699,-10.693935,-10.776297,-10.848737,-10.91191,-11.022638,-11.106489
30,lum          , Wood products,lum,0.541732,0.197784,-0.161161,-0.533774,-0.91894,-1.31577,-1.723458,-2.141424,-2.569101,-3.006023,-3.45186,-3.906274,-4.369128,-4.840117,-5.319105,-5.806147,-6.800794,-7.827558,-8.885359,-9.974168,-11.094776,-12.247572,-13.433069,-14.653447,-15.907883,-17.201268,-18.535859,-19.915111,-21.342278,-21.998319,-22.311212,-22.669291,-22.906175,-23.072988,-23.197999,-23.297073,-23.406469,-23.491479,-23.574679,-23.632439,-23.687985,-23.736355,-23.820582,-23.882024
31,ppp          ," Paper products, publishing ",ppp,0.127488,-0.107972,-0.350799,-0.600227,-0.855475,-1.115936,-1.381156,-1.650643,-1.924092,-2.201154,-2.481531,-2.765068,-3.051567,-3.340793,-3.632697,-3.927156,-4.521269,-5.124907,-5.737271,-6.357878,-6.98611,-7.621667,-8.264092,-8.913068,-9.567592,-10.22731,-10.891204,-11.558007,-12.224372,-12.562298,-12.746647,-12.959708,-13.104391,-13.209343,-13.290296,-13.35603,-13.430013,-13.489799,-13.544466,-13.587054,-13.626353,-13.660702,-13.720923,-13.766231
32,p_c          ," Petroleum, coal products ",p_c,-0.023623,-0.252889,-0.487252,-0.726328,-0.969714,-1.21706,-1.468153,-1.722682,-1.980516,-2.241437,-2.505276,-2.771926,-3.041291,-3.313207,-3.58765,-3.864496,-4.42367,-4.991943,-5.568751,-6.15356,-6.745966,-7.34534,-7.951061,-8.562139,-9.17753,-9.795857,-10.415031,-11.032365,-11.642458,-11.907077,-12.031135,-12.181628,-12.292673,-12.379176,-12.449671,-12.509189,-12.57798,-12.633702,-12.688599,-12.727468,-12.76513,-12.798227,-12.856476,-12.900819
33,crp          ," Chemical,rubber,plastic prods ",crp,0.214622,-0.092753,-0.408345,-0.731183,-1.060313,-1.394941,-1.734511,-2.078406,-2.426258,-2.777615,-3.132102,-3.489542,-3.849653,-4.212156,-4.577022,-4.944061,-5.68174,-6.427201,-7.17957,-7.938428,-8.703059,-9.473074,-10.248535,-11.028969,-11.813662,-12.602839,-13.395805,-14.192072,-14.988597,-15.375105,-15.573776,-15.800484,-15.950777,-16.056931,-16.136727,-16.200145,-16.270384,-16.324699,-16.379321,-16.414784,-16.450872,-16.482399,-16.537603,-16.579044
34,nmm          , Mineral products nec,nmm,-0.364591,-0.583203,-0.806593,-1.034497,-1.266569,-1.502563,-1.742288,-1.98554,-2.232181,-2.482036,-2.734938,-2.990852,-3.249631,-3.511129,-3.775323,-4.042176,-4.580889,-5.129159,-5.685909,-6.250206,-6.820813,-7.396284,-7.974683,-8.55378,-9.129095,-9.696826,-10.250349,-10.78086,-11.275922,-11.509506,-11.638856,-11.803756,-11.934912,-12.043978,-12.137587,-12.219674,-12.316967,-12.400598,-12.474255,-12.538264,-12.594802,-12.644547,-12.732349,-12.799971
35,i_s          , Ferrous metals,i_s,0.148899,-0.092344,-0.346273,-0.611415,-0.886275,-1.169686,-1.460675,-1.758505,-2.062438,-2.371851,-2.686156,-3.005162,-3.328321,-3.655296,-3.98595,-4.320294,-4.994263,-5.681103,-6.378702,-7.086157,-7.802047,-8.525478,-9.255429,-9.992073,-10.729773,-11.469747,-12.20813,-12.941054,-13.663087,-14.157079,-14.49184,-14.869869,-15.113861,-15.280436,-15.401074,-15.493559,-15.592782,-15.668314,-15.736918,-15.787696,-15.834408,-15.874982,-15.946157,-16.000035
36,nfm          , Metals nec,nfm,0.03619,-0.281583,-0.610622,-0.949589,-1.297103,-1.652111,-2.01366,-2.381113,-2.753755,-3.130951,-3.512163,-3.897144,-4.285437,-4.676641,-5.070643,-5.467538,-6.263592,-7.068764,-7.880693,-8.698255,-9.520095,-10.34522,-11.172191,-12.00223,-12.826959,-13.649792,-14.466394,-15.272549,-16.062828,-16.499179,-16.758446,-17.058639,-17.26251,-17.409942,-17.523039,-17.614296,-17.716305,-17.79799,-17.872748,-17.930108,-17.983269,-18.029637,-18.110808,-18.17186
37,fmp          , Metal products,fmp,0.29946,0.063361,-0.180656,-0.431858,-0.68935,-0.952474,-1.220728,-1.493618,-1.770772,-2.051787,-2.336284,-2.624203,-2.9152,-3.208999,-3.505584,-3.804939,-4.408086,-5.021213,-5.642978,-6.272917,-6.910663,-7.55588,-8.208482,-8.869275,-9.535728,-10.210626,-10.893509,-11.584876,-12.284874,-12.668667,-12.896134,-13.165489,-13.35613,-13.499779,-13.61394,-13.708585,-13.816466,-13.904805,-13.985714,-14.049587,-14.107442,-14.158076,-14.246855,-14.313567
38,mvh          , Motor vehicles and parts ,mvh,-0.236597,-0.501115,-0.772292,-1.049595,-1.332388,-1.620207,-1.91266,-2.209383,-2.510087,-2.814474,-3.122248,-3.433316,-3.747426,-4.064332,-4.383976,-4.706294,-5.355099,-6.013148,-6.678885,-7.351145,-8.028782,-8.710181,-9.39338,-10.076379,-10.754534,-11.424969,-12.081437,-12.715996,-13.317281,-13.62853,-13.812834,-14.042042,-14.2177,-14.35931,-14.477941,-14.58013,-14.699722,-14.800266,-14.891737,-14.96647,-15.033849,-15.092951,-15.196776,-15.275413
39,otn          , Transport equipment nec ,otn,0.064578,-0.234427,-0.5409,-0.854194,-1.173507,-1.498277,-1.828048,-2.162355,-2.500877,-2.843273,-3.189188,-3.538534,-3.891031,-4.246438,-4.604696,-4.965718,-5.692702,-6.429615,-7.17528,-7.928955,-8.689735,-9.456889,-10.229442,-11.006571,-11.785813,-12.566147,-13.344707,-14.11788,-14.879575,-15.245151,-15.439117,-15.67129,-15.838395,-15.965897,-16.068104,-16.153294,-16.250715,-16.330888,-16.403095,-16.461661,-16.514266,-16.56036,-16.641441,-16.703279
40,ele          , Electronic equipment,ele,0.434684,0.247721,0.050908,-0.154642,-0.367811,-0.587742,-0.813717,-1.04511,-1.281399,-1.522097,-1.766754,-2.01518,-2.267014,-2.521941,-2.779865,-3.040724,-3.567001,-4.10387,-4.649963,-5.204786,-5.76764,-6.338464,-6.917127,-7.504467,-8.098889,-8.702554,-9.315733,-9.939484,-10.573481,-11.002361,-11.293924,-11.633631,-11.866915,-12.037225,-12.168675,-12.275014,-12.393947,-12.488931,-12.576596,-12.64328,-12.704434,-12.757851,-12.851612,-12.922804
